Monica	 Bet I know how that discussion\xc2\x92s going to go.'
Ross	 Unless\xc2\x85 (Rachel groans.) You anticipated that I would figure all\r\r\nthis out and you know that it actually is a girl, and you really do want her to be named\r\r\nRuth! Well, I\xc2\x92m not falling for that! Okay? Ruth is off the table!'
Monica	 (Pause) I don\xc2\x92t think I\xc2\x92d care.'

